ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
071610854918,TITAN 6X50,6,PRMCIGAR,PREMIUM CIGAR
071610862388,Montecristo Prontos Petites,6,PRMCIGAR,PREMIUM CIGAR
071610862418,MONTICRISTO MONTES,6,PRMCIGAR,PREMIUM CIGAR
071610862449,MONTICRISTO GNADE RUBUSTO,6,PRMCIGAR,PREMIUM CIGAR
071610863231,WHITE PRONTOS PETITES,6,PRMCIGAR,PREMIUM CIGAR
071610863651,MAUDORO MAGNUM,6,PRMCIGAR,PREMIUM CIGAR
071610863873,NICARAGUAN CORONA SINGLE CIGAR,6,PRMCIGAR,PREMIUM CIGAR
071610863880,NICARAGUAN CORONA - CASA DE GA,6,PRMCIGAR,PREMIUM CIGAR
071610864177,RED CHURCHILL SINGLE CIGAR,6,PRMCIGAR,PREMIUM CIGAR
071610864184,RED CHURCHILL CASA DE GARCIA 2,6,PRMCIGAR,PREMIUM CIGAR
071610864214,casa da garcia red toro,6,PRMCIGAR,PREMIUM CIGAR
071610864238,RED CASA DE GARCIA SINGLE CIGA,6,PRMCIGAR,PREMIUM CIGAR
071610864245,RED ROBUSTO CASA DE GARCIA 20C,6,PRMCIGAR,PREMIUM CIGAR
071610864382,CASA DE GARCIA,6,PRMCIGAR,PREMIUM CIGAR
071610864412,CASA ROBUSTO 5PK,6,PRMCIGAR,PREMIUM CIGAR
071610864443,TORO,6,PRMCIGAR,PREMIUM CIGAR
071610864474,CHURCHILL,6,PRMCIGAR,PREMIUM CIGAR
071610864504,CONNECTICUT CORONA CIGAR,6,PRMCIGAR,PREMIUM CIGAR
071610864511,CASA DE GARCIA CONNECTICA TORO,6,PRMCIGAR,PREMIUM CIGAR
071610864542,CONNECTICUT ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
071610864573,CASA DA GARCIA TORO,6,PRMCIGAR,PREMIUM CIGAR
071610864597,CASA DA GARCIA CHURCHILL,6,PRMCIGAR,PREMIUM CIGAR
