ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
090500010517,KOOL LUXE BOLD $1 OFF KING,CIGPROMO,NONE,NONE
090500010524,KOOL LUXE BOLD100 $1 OFF,CIGPROMO,NONE,NONE
090500010531,KOOL LUXE SMOOTH$1 OFF,CIGPROMO,NONE,NONE
090500010548,KOOL LUXE 100 $ 1 OFF,CIGPROMO,NONE,NONE
090500010616,KOOL BLACK KING $.50C OFF,CIGPROMO,NONE,NONE
090500010623,KOOL BLACK100 $.50C OFF,CIGPROMO,NONE,NONE
090500010715,WINSTON SELECT REDKI .50C OFF,CIGPROMO,NONE,NONE
090500010722,WINSTON SELECT RED100 .50C OFF,CIGPROMO,NONE,NONE
090500010739,WINSTON SELECT GOLDKI .50C OFF,CIGPROMO,NONE,NONE
090500010746,WINSTON SELECT GOLD .50C OFF,CIGPROMO,NONE,NONE
090500100027,MAVERICK MENTHOL GOLD 100,3,1,CIG CARTON
090500100065,MAVERICK MENTHOL CTN,3,1,CIG CARTON
090500100133,WINSTON WHITE BOX,3,1,CIG CARTON
090500100324,WINSTON BLACK KING,3,1,CIG CARTON
090500100331,WINSTON BLACK 100,3,1,CIG CARTON
090500100362,WINSTON GREEN SHORTS,3,1,CIG CARTON
090500100515,KOOL LUXE BOLD KINGS,CIGPROMO,NONE,NONE
090500100522,KOOL LUXE BOLD 100S,CIGPROMO,NONE,NONE
090500100539,KOOL LUXE SMOOTH KINGS,CIGPROMO,NONE,NONE
090500100546,KOOL LUXE SMOOTH 100,CIGPROMO,NONE,NONE
090500100553,Kool Black king menthol black,3,1,CIG CARTON
090500100560,Kool Black 100 menthol black,3,1,CIG CARTON
090500100577,W.SELECT FULL KING,3,1,CIG CARTON
090500100584,SELECT FULL 100,3,1,CIG CARTON
090500100591,WINSTON SELECT MELOW KING,3,1,CIG CARTON
090500100607,SELECT MELLOW 100,3,1,CIG CARTON
090600000579,CROWN GOLD KING BOX $.35 OFF,CIGPROMO,NONE,NONE
090600000722,CROWN GOLD 100 .35 C OFF,CIGPROMO,NONE,NONE
090600000739,CROWN DRK GRN KING .35 C OFF,CIGPROMO,NONE,NONE
090600000869,CROWN GREEN DARK 100 $.35 OFF,CIGPROMO,NONE,NONE
090600000876,CROWN RED KING .35 C OFF,CIGPROMO,NONE,NONE
090600000877,CROWN RED 100 .35 C OFF,CIGPROMO,NONE,NONE
090600000883,CROWN FF 100 BOX $.35 OFF,CIGPROMO,NONE,NONE
090600001002,MALIBU BOLD KING PK,2,CGRTPACK,CIGRT PACK
090600001019,MALIBU BOLD 100 PK,2,CGRTPACK,CIGRT PACK
090600001026,MALIBU SMOOTH KING PK,2,CGRTPACK,CIGRT PACK
090600001033,MALIBU SMOOTH 100 PK,2,CGRTPACK,CIGRT PACK
090600001040,MALIBU MENTHOL KING PK,2,CGRTPACK,CIGRT PACK
