ItemNum,ItemName,Dept_ID,Cost,Category_ID,Category_Name,AltSku
012436993115,TWIST 120ML MINT 0,10,0.00000000,NONE,NONE,
012436993122,TWIST 120ML MINT 0,10,0.00000000,NONE,NONE,
012436993283,TWIST MINT NO.1 35MG,10,0.00000000,NONE,NONE,
012436993290,TWIST MINT NO.1 50MG,10,0.00000000,NONE,NONE,
012436996499,CN WATERMELON BERRY 3MG,10,0.00000000,NONE,NONE,
012436996505,CN WATERMELON BERRY 6MG,10,0.00000000,NONE,NONE,
012436996529,CN WATERMELON BERRY ICE 3MG,10,0.00000000,NONE,NONE,
012436996536,CN WATERMELON BERRY ICE 6MG,10,0.00000000,NONE,NONE,
012436997656,CN SOUR WTRMLN STRAWBERRY 6MG,10,0.00000000,NONE,NONE,
012436997663,CN SOUR WTRMLN STRAWBERRY 6MG,10,0.00000000,NONE,NONE,
01245200,STARBUCKS FRAPPE MOCHA,9,0.00000000,NONE,NONE,
01280504,DIET PEPSI 12OZ CAN,9,0.00000000,NONE,NONE,
01281804,DIET PEPSI ZERO CAF 12OZ CAN,9,0.00000000,NONE,NONE,
013415350554,TWIST MINT 0,SALT NIC,0.00000000,NONE,NONE,
013415350561,TWIST MINT 0,SALT NIC,0.00000000,NONE,NONE,
013415352114,TWIST MINT 0,SALT NIC,0.00000000,NONE,NONE,
013415353111,TWIST PURPLE N0.1,10,0.00000000,NONE,NONE,
013415358284,TWIST MENTHOL NO.1 3MG,10,0.00000000,NONE,NONE,
013415358291,TWIST MENTHOL NO.1 6MG,10,0.00000000,NONE,NONE,
013415358307,TWIST MENTHOL NO.1 12 MG,10,0.00000000,NONE,NONE,
013415358314,TWIST MENTHOL NO.1 18 MG,10,0.00000000,NONE,NONE,
017082000033,JACK LINKS OG STICK 1 OZ,9,0.00000000,NONE,NONE,
017082000231,JACK LINKS PEPPERED,9,0.00000000,NONE,NONE,
017082000392,JACK LINKS BEEF STICK & AM CH,9,0.00000000,NONE,NONE,
017082000408,JACK LINKS BEEF & CHEESE JALAP,9,0.00000000,NONE,NONE,
017082000453,JACK LINKS ORIG JERKY CHEW,9,0.00000000,NONE,NONE,
017082000484,JACK LINKS TERYAKI JERKY CHEW,9,0.00000000,NONE,NONE,
017082000736,JACK LINKS TERIYAKI STICK 1 OZ,9,0.00000000,NONE,NONE,
017082010155,JACK LINKS OG MEAT SNACK STICK,9,0.00000000,NONE,NONE,
017082011626,JACK LINKS SWEET & HOT,9,0.00000000,NONE,NONE,
017082600035,JACK LINKS ORIGINAL 2 OZ,9,0.00000000,NONE,NONE,
017082600233,JACK LINKS PEPPERED 2 OZ,9,0.00000000,NONE,NONE,
017082600738,JACK LINKS TERYAKI,9,0.00000000,NONE,NONE,
